timestamp_ns,type,seq,exposure_us,iso,path
7236806917000,rgb,5817,1000,400,rgb/rgb_7236806917000_5817.png
7236840238000,rgb,5818,1000,400,rgb/rgb_7236840238000_5818.png
7236873561000,rgb,5819,1000,400,rgb/rgb_7236873561000_5819.png
7236906882000,rgb,5820,1000,400,rgb/rgb_7236906882000_5820.png
7236940204000,rgb,5821,1000,400,rgb/rgb_7236940204000_5821.png
7236973526000,rgb,5822,1000,400,rgb/rgb_7236973526000_5822.png
7237006848000,rgb,5823,1000,400,rgb/rgb_7237006848000_5823.png
7237040170000,rgb,5824,1000,400,rgb/rgb_7237040170000_5824.png
7237073492000,rgb,5825,1000,400,rgb/rgb_7237073492000_5825.png
7237106813000,rgb,5826,1000,400,rgb/rgb_7237106813000_5826.png
7237140135000,rgb,5827,1000,400,rgb/rgb_7237140135000_5827.png
7237173457000,rgb,5828,1000,400,rgb/rgb_7237173457000_5828.png
7237206780000,rgb,5829,1000,400,rgb/rgb_7237206780000_5829.png
7237240101000,rgb,5830,1000,400,rgb/rgb_7237240101000_5830.png
7237273423000,rgb,5831,1000,400,rgb/rgb_7237273423000_5831.png
7237306745000,rgb,5832,1000,400,rgb/rgb_7237306745000_5832.png
7237340067000,rgb,5833,1000,400,rgb/rgb_7237340067000_5833.png
7237373389000,rgb,5834,1000,400,rgb/rgb_7237373389000_5834.png
7237406711000,rgb,5835,1000,400,rgb/rgb_7237406711000_5835.png
7237440032000,rgb,5836,1000,400,rgb/rgb_7237440032000_5836.png
7237473354000,rgb,5837,1000,400,rgb/rgb_7237473354000_5837.png
7237506676000,rgb,5838,1000,400,rgb/rgb_7237506676000_5838.png
7237539999000,rgb,5839,1000,400,rgb/rgb_7237539999000_5839.png
7237573320000,rgb,5840,1000,400,rgb/rgb_7237573320000_5840.png
7237606642000,rgb,5841,1000,400,rgb/rgb_7237606642000_5841.png
7319712221000,rgb,8305,501,1450,rgb/rgb_7319712221000_8305.png
7319745543000,rgb,8306,501,1450,rgb/rgb_7319745543000_8306.png
7319778864000,rgb,8307,501,1450,rgb/rgb_7319778864000_8307.png
7319812186000,rgb,8308,501,1450,rgb/rgb_7319812186000_8308.png
